2024-02-07 22:15:07,874   [  DEBUG     ] example log
2024-02-07 22:15:07,877   [  INFO      ] example log
2024-02-07 22:15:07,877   [  WARNING   ] example log
2024-02-07 22:15:07,878   [  ERROR     ] example log
2024-02-07 22:15:07,878   [  CRITICAL  ] example log
2024-02-07 22:18:44,619   [  DEBUG     ] |MainThread main.py 5 | example log
2024-02-07 22:18:44,620   [  INFO      ] |MainThread main.py 6 | example log
2024-02-07 22:18:44,620   [  WARNING   ] |MainThread main.py 7 | example log
2024-02-07 22:18:44,621   [  ERROR     ] |MainThread main.py 8 | example log
2024-02-07 22:18:44,622   [  CRITICAL  ] |MainThread main.py 9 | example log
2024-02-07 22:19:09,748   [  DEBUG     ] | MainThread main.py 5 | example log
2024-02-07 22:19:09,749   [  INFO      ] | MainThread main.py 6 | example log
2024-02-07 22:19:09,750   [  WARNING   ] | MainThread main.py 7 | example log
2024-02-07 22:19:09,750   [  ERROR     ] | MainThread main.py 8 | example log
2024-02-07 22:19:09,750   [  CRITICAL  ] | MainThread main.py 9 | example log
2024-02-07 22:20:06,397   [  DEBUG     ] | MainThread main.py 5 | App start with args: ['main.py']
2024-02-07 22:20:06,398   [  INFO      ] | MainThread main.py 6 | example log
2024-02-07 22:20:06,398   [  WARNING   ] | MainThread main.py 7 | example log
2024-02-07 22:20:06,399   [  ERROR     ] | MainThread main.py 8 | example log
2024-02-07 22:20:06,399   [  CRITICAL  ] | MainThread main.py 9 | example log
2024-02-07 22:20:17,260   [  DEBUG     ] | MainThread main.py 5 | App start with args: []
2024-02-07 22:56:23,318   [  DEBUG     ] | MainThread main.py 5 | App start with args: []
2024-02-07 22:56:41,524   [  DEBUG     ] | MainThread config.py 20 | ConfigMeta __call__ called
2024-02-07 22:56:41,524   [  DEBUG     ] | MainThread config.py 22 | Config already exists
2024-02-07 22:57:01,635   [  DEBUG     ] | MainThread config.py 20 | ConfigMeta __call__ called
2024-02-07 22:57:01,636   [  DEBUG     ] | MainThread config.py 22 | Config already exists
2024-02-07 22:57:32,019   [  DEBUG     ] | MainThread config.py 20 | ConfigMeta __call__ called
2024-02-07 22:57:32,020   [  DEBUG     ] | MainThread config.py 22 | Config already exists
2024-02-07 23:00:51,776   [  DEBUG     ] | MainThread config.py 20 | ConfigMeta __call__ called
2024-02-07 23:00:51,777   [  DEBUG     ] | MainThread config.py 22 | Config already exists
2024-02-07 23:01:42,658   [  DEBUG     ] | MainThread config.py 20 | ConfigMeta __call__ called
2024-02-07 23:01:42,659   [  DEBUG     ] | MainThread config.py 22 | Config already exists
2024-02-07 23:01:42,660   [  INFO      ] | MainThread config.py 40 | Image path: C:\Users\lukas\Desktop\Extra\NASA_API\images
2024-02-07 23:01:42,661   [  INFO      ] | MainThread config.py 41 | screen resolution: (1920, 1080)
2024-02-07 23:01:42,661   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:01:58,016   [  DEBUG     ] | MainThread config.py 20 | ConfigMeta __call__ called
2024-02-07 23:01:58,016   [  DEBUG     ] | MainThread config.py 22 | Config already exists
2024-02-07 23:01:58,017   [  INFO      ] | MainThread config.py 40 | Image path: C:\Users\lukas\Desktop\Extra\NASA_API\images
2024-02-07 23:01:58,019   [  INFO      ] | MainThread config.py 41 | screen resolution: (1920, 1080)
2024-02-07 23:01:58,019   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:02:37,519   [  DEBUG     ] | MainThread config.py 20 | ConfigMeta __call__ called
2024-02-07 23:02:37,519   [  DEBUG     ] | MainThread config.py 22 | Config already exists
2024-02-07 23:02:37,521   [  INFO      ] | MainThread config.py 40 | Image path: C:\Users\lukas\Desktop\Extra\NASA_API\images
2024-02-07 23:02:37,521   [  INFO      ] | MainThread config.py 41 | screen resolution: (1920, 1080)
2024-02-07 23:02:37,521   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:04:44,179   [  DEBUG     ] | MainThread config.py 20 | ConfigMeta __call__ called
2024-02-07 23:04:44,180   [  DEBUG     ] | MainThread config.py 22 | Config already exists
2024-02-07 23:04:44,181   [  INFO      ] | MainThread config.py 40 | Image path: C:\Users\lukas\Desktop\Extra\NASA_API\images
2024-02-07 23:04:44,182   [  INFO      ] | MainThread config.py 41 | screen resolution: (1920, 1080)
2024-02-07 23:04:44,182   [  DEBUG     ] | MainThread config.py 20 | ConfigMeta __call__ called
2024-02-07 23:04:44,183   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:19:46,360   [  DEBUG     ] | MainThread config.py 35 | ConfigMeta __call__ called
2024-02-07 23:19:46,361   [  DEBUG     ] | MainThread config.py 37 | Config already exists
2024-02-07 23:19:46,362   [  INFO      ] | MainThread config.py 55 | Image path: 1
2024-02-07 23:19:46,363   [  INFO      ] | MainThread config.py 56 | screen resolution: (1920, 1080)
2024-02-07 23:19:46,363   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:19:50,870   [  DEBUG     ] | MainThread config.py 35 | ConfigMeta __call__ called
2024-02-07 23:19:50,870   [  DEBUG     ] | MainThread config.py 37 | Config already exists
2024-02-07 23:19:50,872   [  INFO      ] | MainThread config.py 55 | Image path: 1
2024-02-07 23:19:50,872   [  INFO      ] | MainThread config.py 56 | screen resolution: (1920, 1080)
2024-02-07 23:19:50,872   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:19:52,763   [  DEBUG     ] | MainThread config.py 35 | ConfigMeta __call__ called
2024-02-07 23:19:52,764   [  DEBUG     ] | MainThread config.py 37 | Config already exists
2024-02-07 23:19:52,765   [  INFO      ] | MainThread config.py 55 | Image path: 1
2024-02-07 23:19:52,766   [  INFO      ] | MainThread config.py 56 | screen resolution: (1920, 1080)
2024-02-07 23:19:52,766   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:19:54,539   [  DEBUG     ] | MainThread config.py 35 | ConfigMeta __call__ called
2024-02-07 23:19:54,539   [  DEBUG     ] | MainThread config.py 37 | Config already exists
2024-02-07 23:19:54,541   [  INFO      ] | MainThread config.py 55 | Image path: 1
2024-02-07 23:19:54,541   [  INFO      ] | MainThread config.py 56 | screen resolution: (1920, 1080)
2024-02-07 23:19:54,541   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:19:55,727   [  DEBUG     ] | MainThread config.py 35 | ConfigMeta __call__ called
2024-02-07 23:19:55,727   [  DEBUG     ] | MainThread config.py 37 | Config already exists
2024-02-07 23:19:55,728   [  INFO      ] | MainThread config.py 55 | Image path: 1
2024-02-07 23:19:55,729   [  INFO      ] | MainThread config.py 56 | screen resolution: (1920, 1080)
2024-02-07 23:19:55,729   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:20:11,417   [  DEBUG     ] | MainThread config.py 35 | ConfigMeta __call__ called
2024-02-07 23:20:11,417   [  DEBUG     ] | MainThread config.py 37 | Config already exists
2024-02-07 23:21:28,510   [  DEBUG     ] | MainThread config.py 35 | ConfigMeta __call__ called
2024-02-07 23:21:28,511   [  DEBUG     ] | MainThread config.py 37 | Config already exists
